#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Plainsong - Remastered","The Cure",49,87,"new wave, post-punk, gothic rock, darkwave","Electronic, Rock, Pop","Disintegration (Deluxe Edition)",1989-05-02,05:17,36,43,0,66,13,0,0,-9,C,4,2019-11-25,4gcfxHL1iRgP0RHCDYMNIo,"UMC (Universal Music Catalogue)",8B,GBUM71000206
2,"Trust In Me","Siouxsie and the Banshees",33,96,"gothic rock, post-punk, darkwave, new wave, deathrock, cold wave","Electronic, Rock, Pop","Through The Looking Glass (Remastered And Expanded)",1987-03-02,04:06,61,47,54,47,54,0,10,-14,D,4,2019-11-25,3I3A3OSbPD04tzkc62iYqq,"UMC (Universal Music Catalogue)",10B,GBF068625520
3,"Step into This Room and Dance for Me","Madrugada",0,182,"norsk rock, norwegischer pop","","The Nightly Disease - Deluxe Edition",2001-00-00,05:13,51,53,75,76,17,0,10,-11,C minor,4,2019-11-25,24ZGJvx9eyRJJ2mgjg1GWq,"Parlophone Norway",5A,NOAFC1100088
4,"(Are You) the One That I've Been Waiting For? - 2011 Remastered Version","Nick Cave & The Bad Seeds",0,140,"","","The Boatman's Call (2011 Remastered Version)",1997-00-00,04:05,45,18,82,3,15,0,10,-17,G#/A♭,4,2019-11-25,0dH8cQPWcuczLRJrLDPn6r,"Mute, a BMG Company",4B,GBAJH1000654
5,"All I Need","Radiohead",0,88,"art rock, alternative rock","Rock","In Rainbows",2007-12-28,03:48,67,48,52,45,10,0,10,-9,E minor,4,2019-11-25,51ygW389BW4Dut3B69pSwc,"XL Recordings",9A,GBSTK0700005
6,"As I Lay My Head Down","Other Lives",0,149,"","","Tamer Animals",2011-08-15,03:47,48,76,17,0,56,0,20,-8,G minor,3,2019-11-25,3xe4Q1Ei27kw0NCfUoOZlV,"Play It Again Sam",6A,USTBD1100010
7,"Opium","Dead Can Dance",0,169,"darkwave, gothic rock, neoklassik, deathrock, new age, post-punk, cold wave","Electronic, Rock, New Age","Anastasis",2012-08-13,05:44,41,60,50,48,8,0,10,-8,F minor,4,2019-11-25,3YNklPL8khs47aRIb1Gt9t,"[PIAS]",4A,GBENL1200657
8,"Paradise Circus","Massive Attack, Hope Sandoval",67,136,"trip-hop, downtempo","Electronic","Heligoland",2010-02-08,04:57,81,59,41,80,30,0,0,-13,G#/A♭,4,2019-11-25,2BndJYJQ17UcEeUFJP5JmY,"Virgin Records",4B,GBAAA0900963
9,"Johnny Belinda","Active Child",0,135,"chillwave","Electronic","You Are All I See",2011-08-23,05:04,45,43,17,12,10,0,10,-11,A minor,4,2019-11-25,6ZAgDTnMmQCT5BftTVL7w2,"Vagrant Records",8A,USVR91168110
10,"Dry and Dusty","Fever Ray",0,91,"art pop","Pop","Fever Ray (Deluxe Edition)",2009-10-19,03:45,54,54,26,0,26,0,10,-9,C minor,4,2019-11-25,18gyc5vRwivruwkeWL2Ion,"Rabid Records",5A,SEWCE0900203
