#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Down By The Water","PJ Harvey",61,125,"art pop, singer-songwriter, alternative rock","Rock, Pop, Folk","To Bring You My Love",1995-01-01,03:14,62,62,0,18,32,0,30,-12,D,4,2022-05-29,48mJX8glOrQkrSdVBjc0Wb,"Universal-Island Records Ltd.",10B,GBAAN9500039
2,"Into the Wild","Agent Side Grinder",0,138,"cold wave, darkwave, post-punk, ebm, deathrock, gothic rock, synthpop","Electronic, Rock, Pop","Alkimia",2015-03-25,04:40,56,94,1,63,61,0,60,-4,F#/G♭,4,2022-05-29,6lBmIkjkydeF60gSON2K1q,"Progress Productions",2B,SEYFX1500201
3,"To The Sky","The Cure",29,112,"new wave, post-punk, gothic rock, darkwave","Electronic, Rock, Pop","Join The Dots - The B-Sides & Rarities",2004-01-01,05:14,69,79,81,40,71,0,10,-7,A,4,2022-05-29,2goE8ZWTcy8uvCn2OCnOnS,"UMC (Universal Music Catalogue)",11B,GBALB0300004
4,"Where Is My Mind? - 2007 Remaster","Pixies",79,81,"alternative rock","Rock","Surfer Rosa (2007 Remaster)",1988-03-21,03:54,52,44,2,0,25,0,0,-14,E,4,2022-05-29,7wCmS9TTVUcIhRalDYFgPy,"4AD",12B,GBAFL0700145
5,"Transmission","Joy Division",47,153,"post-punk, new wave, gothic rock, darkwave, madchester, cold wave","Electronic, Rock, Pop","The Best Of",2008-03-20,03:37,41,88,0,4,50,0,10,-6,G,4,2022-05-29,69aXQyUnUC0BWgATlSWNB2,"London Records",9B,GBAAP9700178
6,"Blood","Editors",41,150,"","","The Back Room",2005-01-01,03:29,37,93,0,9,59,0,10,-5,F#/G♭ minor,4,2022-05-29,3CmiDxO86codY6wLjJooWM,"Play It Again Sam",11A,GBGAC0500007
7,"Marian - Version","Sisters of Mercy",55,133,"gothic rock, darkwave, post-punk, deathrock, cold wave, new wave, gothic metal","Electronic, Rock, Metal, Pop","First and Last and Always Collection",1985-01-01,05:43,49,56,0,72,41,0,20,-12,A,4,2022-05-29,4wBLUjwy4lFXNWzCuxDqfZ,"WM UK",11B,GBAHS0104739
8,"Worlock","Skinny Puppy",0,91,"industrial, ebm, industrial rock, industrial metal, darkwave, gothic rock, deathrock, post-punk","Electronic, Rock, Metal","Rabies (Remastered)",1989-11-20,05:30,62,90,0,0,45,0,10,-6,C,4,2022-05-29,1OY3V4AB64zZanzBQ4b8Z1,"Nettwerk Records",8B,CAN119300017
9,"Walking in My Shoes","Depeche Mode",59,93,"new wave, synthpop, darkwave","Electronic, Pop, Rock","Songs of Faith and Devotion (Deluxe)",1993-03-22,05:26,54,71,11,0,50,0,20,-10,D minor,4,2022-05-29,2Y7ndoyiIm0IaFJa13gV3H,"Venusnote Ltd.",7A,GBAJH0601242
10,"There Is a Light That Never Goes Out - 2011 Remaster","The Smiths",84,136,"new wave, madchester, jangle pop","Pop, Rock","The Queen Is Dead",1986-06-16,04:04,52,77,4,0,88,0,10,-6,E,4,2022-05-29,0WQiDwKJclirSYG9v5tayI,"WM UK",12B,GBCRL1100054
11,"Running Up That Hill (A Deal With God)","Kate Bush",9,108,"art pop, baroque pop, art rock","Pop, Rock, Classical","Hounds Of Love",1985-00-00,04:58,63,55,72,0,20,0,0,-13,A#/B♭ minor,4,2022-05-29,75FEaRjZTKLhTrFGsfMUXR,"Parlophone UK",3A,GBCNR8500002
12,"What Else Is There?","Röyksopp",61,115,"downtempo, electronica, trip-hop","Electronic","The Understanding",2005-06-22,05:17,70,93,19,11,34,0,30,-7,A,4,2022-05-29,2cTOee6bTauDFK1QuDS1BD,"Parlophone (France)",11B,FRS940500063
13,"Gush","bdrmm",0,148,"shoegaze, lo-fi indie, dream pop, post-punk","Pop, Rock, Electronic","Bedroom",2020-07-03,03:46,57,56,1,74,75,0,10,-6,A,4,2022-05-29,1KVmkJwGJqHWQkb1xg1zkg,"Sonic Cathedral",11B,GB8FC2000008
14,"Precious","Depeche Mode",69,105,"new wave, synthpop, darkwave","Electronic, Pop, Rock","Playing the Angel (Deluxe)",2005-10-13,04:10,57,88,10,5,86,0,10,-5,C♯/D♭,4,2022-05-29,1cBxAm8a0fENn2ix3Dfm3u,"Venusnote Ltd.",3B,GBAJH0501450
15,"Stripped","Depeche Mode",0,181,"new wave, synthpop, darkwave","Electronic, Pop, Rock","Black Celebration (Deluxe)",1986-03-17,04:17,47,82,19,10,57,0,0,-9,G,4,2022-05-29,29nRCqvt3DY1wJR4y9H2GK,"Venusnote Ltd.",9B,GBAJH0602660
16,"There Must Be so Much More","Pink Turns Blue",14,143,"gothic rock, post-punk, darkwave, deathrock, cold wave","Electronic, Rock","There Must Be so Much More",2021-04-02,03:59,60,70,5,85,71,0,10,-11,E minor,4,2022-05-29,1PkGHCAK4s9GK1WIm8ZoDr,"Orden",9A,DEAA12111811
17,"Unbound","The KVB",0,135,"cold wave, darkwave, post-punk, gothic rock, shoegaze","Electronic, Rock","Unbound",2021-11-22,03:14,59,88,0,82,92,0,10,-7,G,4,2022-05-29,4aW31DOJzg5PApxvFYMTPd,"INVADA Records UK",9B,UKFGV2100194
18,"Прости","Ploho",37,155,"post-punk, cold wave, darkwave, gothic rock","Electronic, Rock","Phantom Feelings",2021-02-05,03:29,53,90,1,80,67,0,10,-8,G#/A♭,4,2022-05-29,5dJ3y5jID3pbXgtTIADKGn,"Artoffact Records",4B,QM7282098885
19,"Strangers","ACTORS",29,130,"darkwave, cold wave, post-punk, gothic rock, deathrock, synthpop","Electronic, Rock, Pop","Acts of Worship",2021-10-01,03:40,54,93,0,34,49,0,10,-5,A,4,2022-05-29,3goT0nK3rq1SxfUeSMndXL,"Artoffact Records",11B,QM4TW2124134
20,"More","Odonis Odonis",20,120,"darkwave, cold wave, ebm, industrial, post-punk","Electronic, Rock","Spectrums",2021-10-15,03:58,51,82,0,60,25,0,0,-10,F,4,2022-05-29,0OZO37qNEzvNtyrNCePx9F,"felte",7B,QMGEB2107702
21,"Phantom Heart","LEATHERS",23,140,"darkwave, cold wave, synthpop, post-punk","Electronic, Rock, Pop","Reckless",2021-10-01,03:58,53,70,0,85,70,0,20,-11,D#/E♭,4,2022-05-29,75nxMtV1ACpqox22nj2ySX,"Artoffact Records",5B,TCAEC1925501
22,"Not Even Trying","Pink Turns Blue",15,140,"gothic rock, post-punk, darkwave, deathrock, cold wave","Electronic, Rock","Not Even Trying",2021-09-03,04:26,63,51,10,52,52,0,30,-13,D minor,4,2022-05-29,6mwyxXRojEFweYO7r655kL,"Orden",7A,DEAA12111814
23,"Far Away","Sacred Skin",0,108,"darkwave, cold wave, post-punk, synthpop","Electronic, Rock, Pop","Far Away",2021-08-06,04:19,56,84,1,8,56,0,0,-7,A#/B♭ minor,4,2022-05-29,2HTSOshLBMZM8n5Ps42QOL,"©️ 2021 Remote Viewing LTD",3A,QZK6J2196729
24,"Budala","Affet Robot",6,80,"darkwave, cold wave, post-punk, synthpop, anatolischer rock","Electronic, Rock, Pop","Fiyasko",2021-02-26,04:20,48,82,0,28,65,0,10,-11,E minor,4,2022-05-29,7AUM6M46KrCVMP12hWUZaC,"Affet Robot",9A,usl4r2087230
25,"Q&K","New Candys, Jancy Buffington",0,99,"neo-psychedelic, psychedelic rock, space rock","Rock","Vyvyd",2021-06-04,04:21,50,62,0,89,42,0,0,-8,G,4,2022-05-29,45EkGqm5rWse7NOtxHYjRC,"New Candys",9B,USLZJ2065570
26,"Ritchie Sacramento","Mogwai",44,137,"post-rock, shoegaze","Rock","As The Love Continues",2021-02-19,04:12,40,73,0,82,11,0,10,-8,C,4,2022-05-29,7yBwhVl7W0YT5cCMw8MOjW,"Rock Action Records",8B,GBGDZ2000120
27,"Waltzing Back","No Vacation",0,105,"bedroom pop, dream pop","Pop, Rock","Waltzing Back",2021-07-14,03:12,56,58,0,92,49,0,0,-8,G minor,4,2022-05-29,3Q1DprZauQyNo8KGlY8brZ,"Topshelf Records",6A,USEZ61916907
28,"Duplex","Small Black",39,98,"chillwave, dream pop","Electronic, Pop, Rock","Cheap Dreams",2021-04-09,03:52,54,77,18,2,69,0,20,-8,C♯/D♭,4,2022-05-29,6vLh2kydYBdIvFfepN9S8y,"100% Electronica",3B,QMGR32242698
29,"One Eye Open","trentemøller",0,95,"minimal techno, electronica","Electronic","Fixion",2016-09-16,04:16,66,67,33,8,35,0,10,-8,C,4,2022-05-29,2zI9f1hc4CvAFLkGn8WIz6,"In My Room",8B,DEL021670034
30,"Cold Souls","Drab Majesty",0,150,"darkwave, cold wave, post-punk, gothic rock, deathrock, synthpop","Electronic, Rock, Pop","The Demonstration",2017-01-27,05:25,39,86,16,76,36,0,50,-6,C♯/D♭,4,2022-05-29,0DWAlAhto9ezo6HVpyNe1T,"Dais Records",3B,QMBZ91673229
31,"Hideaway","Holygram",11,100,"cold wave, darkwave, post-punk, gothic rock, deathrock","Electronic, Rock","Modern Cults",2018-11-09,05:53,47,74,11,93,13,0,70,-8,C,4,2022-05-29,780tx2wkbXhi1nQMdTGQDQ,"Oblivion",8B,DEA451804950
32,"How You Make Me Hate","The Essence",0,106,"post-punk, deathrock, gothic rock, darkwave, new wave, cold wave","Electronic, Rock, Pop","Ecstasy / Nothing Lasts Forever",1988-01-01,04:36,56,67,0,7,41,0,50,-12,D minor,4,2022-05-29,740S34iyefwMHxJyWAGQ1g,"Anagram Records",7A,GBBLY9100153
